item_name	description	category	cost	rarity	tags	system	metadata
Metatool	Wrist-mounted multi-repair tool	utility	200	1		SWN Revised	enc:1;tl:4
Spare Parts	General technical repair units	consumable	50	0		SWN Revised	enc:1#;tl:4
Tailored Antiallergens	Biotic adaptation dose	consumable	5	2		SWN Revised	enc:*;tl:4
Toolkit	Specialized repair tools (Postech)	utility	300	5		SWN Revised	enc:3;tl:4
Comm Server	Local encrypted comm grid base	utility	1000	2		SWN Revised	enc:3;tl:4
Compad	Standard handheld comm device	utility	100	1		SWN Revised	enc:*;tl:4
Field Radio	Shortwave terrestrial radio	utility	200	1		SWN Revised	enc:1;tl:4
Translator Torc	Automated speech translator	utility	200	4		SWN Revised	enc:*;tl:4
Black Slab	Illegal hacking-optimized computer	utility	10000	3		SWN Revised	enc:1;tl:4
Data Phase Tap	Tool for non-invasive line tapping	utility	5000	3		SWN Revised	enc:1;tl:4
Data Protocol	Regional data formatting manual	utility	1000	2		SWN Revised	enc:*;tl:4
Dataslab	Standard folding handheld computer	utility	300	1		SWN Revised	enc:1;tl:4
Line Shunt	Remote data intrusion disc	utility	100	3		SWN Revised	enc:*;tl:4
Remote Link Unit	Wireless computer interface	utility	250	1		SWN Revised	enc:1;tl:4
Storage Unit	High-capacity data case	utility	500	1		SWN Revised	enc:1;tl:5
Tightbeam Link Unit	Line-of-sight laser comm	utility	1000	4		SWN Revised	enc:3;tl:4
Biosculpt	DNA-level total reconstruction	utility	10000	4		SWN Revised	enc:1;tl:4
Cyberclaws	Retractable monoblade implants	weapon	500	4	cyberwear	SWN Revised	enc:*;tl:4
"Deep Echo" Radar	Torso-implanted penetrative radar	utility	7500	4	cyberwear	SWN Revised	enc:*;tl:4
Direct Interface	Wireless hardware control link	utility	3000	4	cyberwear	SWN Revised	enc:*;tl:4
"Gecko" Anchors	Wall-climbing limb implants	utility	10000	4	cyberwear	SWN Revised	enc:*;tl:4
Inertial Shunt Nodes	Kinetic impact dispersal nodes	utility	5000	4	cyberwear	SWN Revised	enc:*;tl:4
Biostatus Monitor	Internal medical status alerts	utility	1000	4	cyberwear	SWN Revised	enc:*;tl:4
Integral Commlink	Grid-reliant subvocal transceiver	utility	500	4	cyberwear	SWN Revised	enc:*;tl:4
"Masquerade" Identity	DNA/retina/fingerprint mimicry	utility	20000	4	cyberwear	SWN Revised	enc:*;tl:4
Neural Overload Wiring	Hyper-fast action wiring	utility	30000	4	cyberwear	SWN Revised	enc:*;tl:4
Panic Button	Emergency life-saving implant	utility	5000	4	cyberwear	SWN Revised	enc:*;tl:4
Phosphor Tattoos	Programmable glowing tattoos	utility	100	4	cyberwear	SWN Revised	enc:*;tl:4
Brainchip	Cloned cerebral psionic fuel	utility	10000	4	cyberwear	SWN Revised	enc:*;tl:4
Antisomnix	Stimulant vs. sleep grenades	utility	100	3		SWN Revised	enc:0;tl:3
Binder Satchel	Ultra-strong binding glue	utility	50	2		SWN Revised	enc:1;tl:2
Burner Bag	High-heat matter disposal bag	utility	150	4		SWN Revised	enc:1;tl:4
Comet Suit	Orbital drop ablation suit	utility	6000	4		SWN Revised	enc:2;tl:4
Dandelion Chute	Stealth aerogel descent system	utility	5000	5		SWN Revised	enc:2;tl:5
Grav Handles	Individual gravitic cargo lifters	utility	3000	4		SWN Revised	enc:1;tl:4
Pulse Transmitter	Covert FTL text laser	utility	5000	5		SWN Revised	enc:1;tl:5
Sleep Grenade	Non-lethal gas grenade	weapon	100	2		SWN Revised	enc:1;tl:4
"Black Box" Core	Sealed tamper-proof fusion plant	utility	50000	4		SWN Revised	enc:2;tl:4
Cargo Coffin	Portable cold sleep pod	utility	5000	4		SWN Revised	enc:0;tl:3
Control Drugs	Highly addictive carnal drugs	consumable	50	3		SWN Revised	enc:0;tl:3
Hibernation Drugs	Livestock/slave stasis drug	consumable	25	3		SWN Revised	enc:0;tl:3
Ingestive Sealant	Biological leak-stopping stim	consumable	25	3		SWN Revised	enc:2;tl:4
Nuclear Inhibition Field	Mobile nuke snuffer projector	utility	25000	4		SWN Revised	enc:2;tl:6
Pocket Nuke	Illegal man-portable nuclear device	weapon	25000	6		SWN Revised	enc:2;tl:1
"Rimworlder" Rifle	TL1-reproducible semiauto rifle	weapon	50	0		SWN Revised	enc:*;tl:5
Auctoritas Stone	Psychological empathy-damping jewel	utility	50000	4		SWN Revised	enc:0;tl:5
Breath of Life	Mandate-era medical psitech vapor	consumable	200000	4		SWN Revised	enc:2;tl:4
Canopic Pet	Robot pet with a bottled mind	utility	30000	4		SWN Revised	enc:*;tl:5
Eternal Sun	Golden ball of perpetual light	utility	300000	5		SWN Revised	enc:*;tl:5
Fractal Gemstones	Ornate structure-forming jewels	utility	25000	5		SWN Revised	enc:2;tl:6
Frozen Moment	Time-loop recurrence field generator	utility	50000	6		SWN Revised	enc:2;tl:6
Gemini Automaton	Lethal pretech robotic duplicate	utility	100000	6		SWN Revised	enc:*;tl:6
Iron Seeds	Material-synthesizing pretech nodes	utility	30000	6		SWN Revised	enc:*;tl:5
A Life in Amber	Perfect sensory life-log lozenge	utility	60000	5		SWN Revised	enc:2;tl:6
Midas Coffer	Matter-transmuting folding case	utility	120000	6		SWN Revised	enc:*;tl:6
Neutron Diamonds	Gravitic-pull warping jewels	utility	300000	6		SWN Revised	enc:*;tl:4
Nova Rubies	Light-trapping crimson gemstones	utility	100000	4		SWN Revised	enc:*;tl:5
Omnivalent Fragrance	Emotion-influencing nanite fluid	utility	40000	5		SWN Revised	enc:0;tl:5
Peach of Immortality	Gene-spliced anagathic fruit	consumable	20000000	6		SWN Revised	enc:0;tl:4
Penitent Thorn	Habit-breaking neural needle	consumable	60000	4		SWN Revised	enc:*;tl:4
Proust Dust	Memory-reliving psychoactive powder	consumable	10000	4		SWN Revised	enc:0;tl:4
Music Box	Psychospecified auditory art	utility	40000	4		SWN Revised	enc:*;tl:4
Solace Powder	Absolute sensory anesthetic	consumable	5000	4		SWN Revised	enc:2;tl:5
Tears of God	Luminous blue psitech gemstones	goods	200000	5		SWN Revised	enc:2;tl:0
Clothing	Commodity (1 ton)	goods	1000	0		SWN Revised	enc:2;tl:0
Colonial Materials	Commodity (1 ton)	goods	2000	0		SWN Revised	enc:2;tl:0
Colonial Supplies	Commodity (1 ton)	goods	1000	0		SWN Revised	enc:2;tl:1
Raw Drugs	Commodity (1 ton)	goods	2000	1		SWN Revised	enc:2;tl:4
Recreational Drugs	Commodity (1 ton)	goods	50000	4		SWN Revised	enc:2;tl:4
Exotic Jewels	Commodity (1 ton)	goods	25000	4		SWN Revised	enc:2;tl:4
Fine Liquor	Commodity (1 ton)	goods	10000	1		SWN Revised	enc:2;tl:4
Fusion Plants	Commodity (1 ton)	goods	10000	4		SWN Revised	enc:2;tl:4
Ghoul Immortality Tech	Maltech commodity (1 ton)	goods	400000	5		SWN Revised	enc:2;tl:4
Basic Housewares	Commodity (1 ton)	goods	2000	0		SWN Revised	enc:2;tl:4
Postech Housewares	Commodity (1 ton)	goods	5000	0		SWN Revised	enc:2;tl:4
Pretech Housewares	Commodity (1 ton)	goods	50000	4		SWN Revised	enc:2;tl:4
Common Livestock	Commodity (1 ton)	goods	2000	1		SWN Revised	enc:2;tl:4
Gengineered Livestock	Commodity (1 ton)	goods	10000	4		SWN Revised	enc:2;tl:4
Luxury Pets	Commodity (1 ton)	goods	25000	5		SWN Revised	enc:2;tl:4
Postech Meds	Commodity (1 ton)	goods	25000	1		SWN Revised	enc:2;tl:4
Pretech Meds	Commodity (1 ton)	goods	200000	4		SWN Revised	enc:2;tl:5
Common Ingots	Commodity (1 ton)	goods	1000	0		SWN Revised	enc:2;tl:5
Rare Alloys	Commodity (1 ton)	goods	5000	2		SWN Revised	enc:2;tl:0
Metawheat	Commodity (1 ton)	goods	500	0		SWN Revised	enc:2;tl:0
Native Artwork	Commodity (1 ton)	goods	10000	2		SWN Revised	enc:2;tl:0
Basic Industry Parts	Commodity (1 ton)	goods	5000	1		SWN Revised	enc:2;tl:1
Pretech Industry Parts	Commodity (1 ton)	goods	100000	4		SWN Revised	enc:2;tl:4
Ship Maintenance Parts	Commodity (1 ton)	goods	25000	0		SWN Revised	enc:2;tl:5
Building Materials	Commodity (1 ton)	goods	10000	0		SWN Revised	enc:2;tl:0
Pretech Junk	Commodity (1 ton)	goods	50000	4		SWN Revised	enc:2;tl:0
Energy Small Arms	Commodity (1 ton)	goods	10000	4		SWN Revised	enc:2;tl:0
Pretech Small Arms	Commodity (1 ton)	goods	100000	5		SWN Revised	enc:2;tl:0
Projectile Small Arms	Commodity (1 ton)	goods	5000	1		SWN Revised	enc:2;tl:4
Hand Tools	Commodity (1 ton)	goods	5000	0		SWN Revised	enc:2;tl:4
Industrial Tools	Commodity (1 ton)	goods	10000	1		SWN Revised	enc:2;tl:0
Medical Tools	Commodity (1 ton)	goods	50000	2		SWN Revised	enc:2;tl:2
Janitor Bot	Menial cleaning expert system	utility	1000	4	companion	SWN Revised	enc:2;tl:0
Civilian Security Bot	Non-lethal guard bot	utility	5000	4	companion	SWN Revised	enc:2;tl:2
Repair Bot	Technical maintenance expert system	utility	5000	4	companion	SWN Revised	enc:2;tl:1
Industrial Work Bot	Heavy lifting expert system	utility	2000	4	companion	SWN Revised	enc:2;tl:4
Companion Bot	Social/domestic expert system	utility	2500	4	companion	SWN Revised	enc:2;tl:4
Soldier Bot	Standard military expert system	utility	10000	4	companion	SWN Revised	enc:2;tl:4
Heavy Warbot	High-threat combat expert system	utility	50000	4	companion	SWN Revised	enc:2;tl:4
Primitive Drone	TL3 surveillance drone	utility	250	4	companion	SWN Revised	enc:2;tl:5
Void Hawk	Deep-space surveillance drone	utility	5000	4	companion	SWN Revised	enc:2;tl:5
Stalker Drone	Standard TL4 flying drone	utility	1000	4	companion	SWN Revised	enc:2;tl:1
Cuttlefish Drone	Aqueous surveillance drone	utility	2000	4	companion	SWN Revised	enc:2;tl:1
Ghostwalker Drone	Radar-transparent stealth drone	utility	3000	4	companion	SWN Revised	enc:2;tl:2
Sleeper Drone	Long-loiter surveillance drone	utility	2500	4	companion	SWN Revised	enc:2;tl:1
Pax Drone	TL5 pacification drone	utility	10000	4	companion	SWN Revised	enc:2;tl:1
Alecto Drone	TL5 autonomous VI drone	utility	50000	4	companion	SWN Revised	enc:2;tl:2
