id,name,description,type,prereq,status,rewards,quest_giver,difficulty
ang1,Down by the River,"The Angler gestures toward the murky waters with a clean, meticulously maintained lure. ""I need to figure out why my fish traps keep coming up empty. Fancy a swim?""",Relationship,msq1,Available,Relationship++,Angler,trivial
ace2,Fly Like and Eagle,"The Ace stares at the horizon, a rare seriousness in their eyes. ""Found something on my last scouting run - an alien artifact that hums like my best engine. The Archivist says it's pre-tech, but I think it's a flight computer. ",Relationship,msq5,Available,,Crop-Duster Ace,normal
msq16,Fly Me to the Moon,The sky seems quieter tonight,Main,msq15,Available,,Overworked Administrator,trivial
ace1,Free Bird,"The Crop-Duster Ace grins as he polishes their flight goggles. ""Been grounded too long, partner. My bird's engine needs premium flight grease and my spirit needs to feel the wind. There'stTheire's a derelict fuel depot in the canyon - the  good stuff might be left behind. Don't mind the CO's drones still patrolling; they're about as smart as my last commanding officer."" ",Relationship,msq1,Available,Relationship++,Crop-Duster Ace,trivial
bot1,Good Day Sunshine,"The Botanist squints at a wilting plant under flickering UV lights. ""These pylon fluctuations are killing my hybrids. I've mapped the patterns - need someone to recalibrate the emitters while I adjust the nutrient feeds. Bring prism shards; they focus the wavelengths perfectly. And watch for dust storms - they scatter everything."" ",Relationship,msq1,Available,Relationship++,Botanist,trivial
bk1,Good Vibrations,"The Barkeep slides a glass across the counter. ""Taste that? Too much terrestrial influence. My rare alien spirits need proper aging, but the vibration dampeners on my brewing tanks failed. Probably sabotaged by boring water-lovers. Help me find pre-war music records - their specific frequencies stabilize the fermentation process."" ",Relationship,msq1,Available,Relationship++,Barkeep,trivial
arc1,Handle With Care,"The Archivist nervously adjusts their gloves as he points to a fragile alien relic. ""ThisthTeir artifact arrived with the last supply ship, wrapped in someone's dirty shirt! I need proper containment materials before it degrades. Blank datachips to record its energy signature, and someone with steady hands. No weapons near my collection, please."" ",Relationship,msq1,Available,Relationship++,Archivist,trivial
wra2,Home on the Range,"""The terd'shheird's restless,"" the Wrangler observes, watching the distant barn. ""Something's disturbing their migration patterns. I've built tracking harnesses, but need help installing them without causing a stampede. And please... check your weapons at the gate. My animals deserve peace in their home, even if we can't find it elsewtheire."" ",Relationship,msq5,Available,,Striderox Wrangler,normal
dng4,House of the Rising Sun,"House Harkell, the abandoned estate of the colony's original governor, has been warped by psychic residue. Rooms shift subtly when unobserved, biomass 'portraits' watch intruders with unseen eyes, and echoes of the governor's final days replay in haunting loops. A Maw-possessed caretaker android patrols the halls, maintaining a macabre order. Explore thetthheir psychic-haunted mansion to uncover the colony's dark founding secrets.",Dungeon,msq6,Available,Salvage:18|Credits:1800|Mirror of Many Worlds:1,Data-Slate Teactheir,normal
msq5,Lost Highway,"At the wreck of the SS Oldstead, the settlers need to find their footing",Main,msq4,Available,,Overworked Administrator,normal
hh2,Mr. Tambourine Man,"""Listen,"" the theirmit wtheirpers, holding a radio that crackles with strange rhythms. ""The static... it's not random. Ttheire's a pattern, like a signal within the noise. I need more radio parts to boost the receiver, and seeds from the communication array's garden - they absorb specific frequencies. Maybe someone's still singing out therethteire in the stars."" ",Relationship,msq5,Available,,Honey-Beet theirmit ,normal
hnt3,Paint It Black,"Terran black-ops activity has escalated. A 'Ghost' operative has been sabotaging settlements, leaving no witnesses and disabling security with EMP grenades. Ttheir elite infiltrator uses advanced cloaking technology and deploys micro-drone swarms to disorient targets. Track the shadowy assassin through the urban ruins before they complete their mission - and paint the whole colony black.",Hunt,msq6,Available,Terran Tech:4|Encrypted Intel:3|Ghost's Phase-Shroud:1,Sub-Space Barkeep,hard
fab1,Peace Train,"The Fabricator's hands shake slightly as he works. ""The settlement's power grid keeps failing. I can build stabilizers with ttheir high-quality plasma-rod, but... I need exotic metals from the old battlefield. Can't go myself - the weapons debris triggers... memories. Please, just gattheir the materials. No fighting if you can avoid it."" ",Relationship,msq1,Available,Relationship++,Fabricator,trivial
msq17,People are Strange,Something takes a look-if just for a moment at Mar Sara,Main,msq16,Available,,Overworked Administrator,trivial
hnt5,Riders in the Sky,"The Dune Serpent Prime has returned - a mutated apex predator that burrows through sand with terrifying speed, surfacing to deliver venomous bites and sonic shrieks. Caravan masters speak of seeing 'riders in the sky' before attacks, likely the serpent's psychic projections. Ttheir mythic horror must be stopped before it collapses the trade routes entirely.",Hunt,msq8,Available,Maw Venom Sacs:3|Crystalline Scales:4|Serpent's Glass Fang:1,Displaced Quartermaster,hard
msq11,Riders on the Storm,"With their technology ruined, they need to find a new source",Main,msq10,Available,Credits:2000,Overworked Administrator,trivial
hnt6,Ring of Fire,"Volcanic activity in the Caldera Range has awakened an 'Ember-Crowned Behemoth' - a titanic creature with a crown of molten rock and superheated hide. Its heat aura scorches everything nearby, while lava breath and rockfall attacks make direct assault suicidal. Ttheire's a ring of fire growing around the mountain, and someone needs to put the beast down before the colony becomes its funeral pyre.",Hunt,msq9,Available,Volcanic Minerals:5|Ttheirmal Capacitors:3|Heart-Forge Ember:1,Pacifist Fabricator,hard
msq4,Run through the Jungle,The Trek from town to wilderness begins,Main,msq3,Available,,Overworked Administrator,normal
qm1,Sharp Dressed Man,"The Quartermaker sniffs disdainfully at a mud-stained uniform. ""We may be colonists, but we needn't look like savages. I've found pre-war fashion photos suggesting how to tailor proper attire. Need luxury scented oils for the finishing touch, and someone to gattheir materials from the clean zones. Primitive meat stains simply won't do."" ",Relationship,msq1,Available,Relationship++,Quartermaster,trivial
msq7,Ship of Fools,A Terran Science Vessel Awaits,Main,msq6,Available,Salvage:10|Credits:1000,Overworked Administrator,hard
ang2,Sittin' on the Dock of the Bay,"""Built a proper dock with scrap wood,"" the Angler says proudly. ""But my radio's picking up interference - sounds like... singing? Probably just old broadcasts, but my grandma's ancient Earth cookbooks mentioned 'siren songs.' Let's not end up like those sailors."" ",Relationship,msq5,Available,,Angler,normal
hnt4,Space Oddity,"An 'Phase-Sentinel' has been sighted near the dimensional anomaly site - a glitching, reality-phasing drone that shouldn't exist in ttheir timeline. It phases unpredictably, reflects attacks with reflective shields, and can trigger dimensional overloads. Ground control to Major Tom: someone needs to investigate thettheir space oddity before its presence causes a full-scale reality breach.",Hunt,msq7,Available,Exotic Energy Crystals:5|Architect Components:4|Lens of the Unseen Spectrum:1,Crop-Duster Ace,hard
dng2,Spirit in the Sky,"The Red Basilica stands as a grim monument to fanaticism. Once a Terran research monastery, it's now occupied by a xenophobic splinter-sect that worships pretech relics as holy icons. Four wings each enforce a different doctrine: Purity, Silence, Vigilance, and Ascension. Their leader, the High Ascendant, has grafted forbidden augmentations onto their own flesh. Infiltrate ttheir fortified sanctuary to uncover their secrets and recover the relics they guard.",Dungeon,msq4,Available,Salvage:15|Credits:1200|Reliquary of Saint Kord's Last Breath:1,Pre-Tech Archivist,hard
msq14,Sympathy for the Devil,Someone they never expected to see again returns,Main,msq13,Available,,Martha,trivial
wra1,Take it Easy,"The Wrangler leans against a peacefully grazing Strider-Ox. ""They get spooked by aggressive weapons - can smell the violence on 'em. Need sturdy ropes and leattheir kits to reinforce the pens before the next convoy comes through with their showy firearms. Help me gattheir materials, and I'll share my best fermented fungus-beer. Easy does it."" ",Relationship,msq1,Available,Relationship++,Striderox Wrangler,trivial
dt1,Teach Your Children,"I've secured ancient history databanks, but need children's books and toys to create a proper learning environment. Maybe if the next generation understands the past, they won't repeat it. Quietly, please - no sudden movements."" ",Relationship,msq1,Available,Relationship++,Teactheir,trivial
msq12,The End,The pre-glassing,Main,msq11,Available,,Qassidar,trivial
hnt2,The End of the World,"Settlers near the Woods report nightmares that come true and psychic echoes that drive people mad. The source appears to be a 'Touched Oracle' - a psionic aberration that floats through the mist, creating illusory duplicates and projecting mind-shattering psychic lances. Ttheir haunting entity seems to be coordinating nearby activity. Find it before its mindquake abilities destabilize the entire region.",Hunt,msq5,Available,Maw Psionic Tissue:4|Corrupted Data-Slates:3|Oracle's Split-Eye:1,Honey-Beet theirmit,hard
msq13,The Night They Drove Old Dixie Down,Terran special forces see their opportunity to strike,Main,msq12,Available,,Overworked Administrator,hard
msq6,The Sound of Silence,A new Enemy Appears,Main,msq5,Available,Biomass:10,Overworked Administrator,normal
gm1,The Sound of Silence,"The Medic gestures to their sterile lab, untouched by the distant war sounds. ""These quick-fix stims are causing more harm than good. I've identified ancient Earth medicinal theirbs that could heal properly, but they grow in the acoustic dead zone wtheire the battlefield's noise doesn't penetrate. Need someone to gattheir them while I prepare the extraction equipment."" ",Relationship,msq1,Available,Relationship++,Medic,trivial
msq15,The Weight,A battlecruiser goes down carrying an extremely valuable cargo,Main,msq14,Available,,Dr. Kynes,hard
msq18,"The times, they are a-changin'",Harvest fair time once more,Main,msq17,Available,Participation Trophy,Overworked Administrator,trivial
ha1,Tighten Up,"The Administrator pushes a towering stack of sloppy reports across the desk. ""Ttheir settlement runs on data, and ttheir... ttheir is garbage. I need pre-war organization charts to implement proper procedures, and quality coffee to stay awake while doing it. Help me audit the supply manifests before someone takes an 'unnecessary risk' based on bad information."" ",Relationship,msq1,Available,Relationship++,Overworked Administrator,trivial
arc2,Time is on My Side,"""Fascinating!"" the Archivist wtheirpers, studying a pulsating crystal. ""Ttheir relic seems to manipulate temporal perception. But my equipment keeps failing. Need high-quality components to build a stabilizer field. If we succeed, we might finally catalog all these artifacts before... well, before time runs out for all of us."" ",Relationship,msq5,Available,,Archivist,normal
fab2,Turn! Turn! Turn!,"""They're converting my irrigation systems into weapons platforms,"" the Fabricator wtheirpers urgently. ""I've hidden the tech-schematics for a harmonic resonator that could make energy weapons obsolete through constructive interference. Help me build it before they find the plans. Every season brings change - let's make thisttheir one for peace."" ",Relationship,msq5,Available,,Fabricator,normal
dng6,Upside Down,"The Inversion Spire is a pretech tower wheretwheire gravity has inverted - you descend upward into its depths. Rooms rotate mid-combat, floating debris fields create obstacle courses, and time-dilation pockets warp perception. A gravity-warped Architect sentinel guards the central core, manipulating spacetime itself. Navheitgate ttheir surreal, physics-defying structure to reach the tower's mysterious heart.",Dungeon,msq8,Available,Salvage:30|Credits:2500|Compass of the Lost Horizon:1,Crop-Duster Ace,hard
dt2,What a Wonderful World,"""Look at ttheir,"" the Teactheir smiles, showing holograms of pre-war Earth. ""The children have never seen Earth oceans or forests. I want to build an immersive educational suite, but need more databanks and safe conduits to the schoolhouse. If we show them what's possible, maybe they'll build something better than what we're destroying."" ",Relationship,msq5,Available,,Teactheir,normal
msq8,When the man comes around,An unlikely meeting with a powerful foe,Main,msq7,Available,,Qassidar,normal
hh1,Wildflowers,"The theirmit peeks from behind a curtain of hanging vines. ""My honey-beets are sterile without cross-pollination. Rare flower pollen from the valley beyond the drone patrols could save them. I'd go myself, but... Terran surveillance watches the open areas. You look less suspicious. I'll trade you radio parts - I've collected plenty from their crashed drones."" ",Relationship,msq1,Available,Relationship++,Honey-Beet theirmit ,trivial
dng1,Working in the Coal Mine,"The Rustmines of Oldstead Ridge were abandoned when the pretech automation systems went haywire. Now, conveyor belts run endlessly on glitchy subroutines, mining drones have evolved into territorial predators, and a half-buried tunneling machine has been partially infested by the Maw. Deep within, a raider boss has welded himself into a loader-mech frame, guarding the deepest shafts. Venture into thethteir collapsing industrial complex to recover valuable pretech salvage and discover what ancient machinery still functions in the dark.",Dungeon,msq3,Available,Salvage:20|Credits:1500|Trans-Dimensional Tote of Containing:1,Displaced Quartermaster,normal
bk2,Wtheirkey River,"""They call me mad,"" the Barkeep laughs, pouring two shots of glowing liquid. ""But I've found a way to distill spirits from the nebula's energy currents. Need help redirecting a plasma stream through my modified still. Terran propaganda says it's impossible, but they also said my jukebox couldn't play century-old vinyl."" ",Relationship,msq5,Available,,Barkeep,normal
qm2,You're So Vain,"""They laugh at my mirrors,"" the Quartermaster says, polishing a gleaming surface. ""But reflection is the first step toward civilization. I'm creating a distillation system for beauty oils from local blossoms, but need help bypassing the muddy flood plains. Perhaps when everyone sees themselves clearly, they'll remember who they were before all ttheir."" ",Relationship,msq5,Available,,Quartermaster,normal
bot2,theire Comes the Sun,"""Breakthrough!"" the Botanist exclaims, holding a seed that glows softly. ""This species photosynthesizes multiple spectra simultaneously. But it needs soil from the meteor crater's edge - richest nutrients on the planet. The catch? The UV-pylons theretheitre are... unstable. We'll need to move quickly during the solar maximum."" ",Relationship,msq5,Available,,Botanist,normal
